"Year","Ceremony","Category","Nominee","Film","Winner"
"2025","BAFTA","Best Sound","Gareth John,Al Nelson,Gwendolyn Yates Whittle,Gary A. RizzoandJuan Peralta","F1","Yes"
"2025","BAFTA","Best Sound","Greg Chapman,Nathan Robitaille,Nelson Ferreira,Christian CookeandBrad Zoern","Frankenstein","Nominee"
"2025","BAFTA","Best Sound","José Antonio García,Christopher ScarabosioandTony Villaflor","One Battle After Another","Nominee"
"2025","BAFTA","Best Sound","Chris Welcker,Benny Burtt,Brandon Proctor,Steve Boeddekerand Felipe Pacheco","Sinners","Nominee"
"2025","BAFTA","Best Sound","Mitch Lowe, Ben Barker, Howard Bargroff and Richard Spooner","Warfare","Nominee"
"2025","Critics Choice","Best Score","Ludwig Göransson","Sinners","Yes"
"2025","Critics Choice","Best Score","Alexandre Desplat","Frankenstein","Nominee"
"2025","Critics Choice","Best Score","Jonny Greenwood","One Battle After Another","Nominee"
"2025","Critics Choice","Best Score","Daniel Lopatin","Marty Supreme","Nominee"
"2025","Critics Choice","Best Score","Max Richter","Hamnet","Nominee"
"2025","Critics Choice","Best Score","Hans Zimmer","F1","Nominee"
"2025","Critics Choice","Best Song","Golden - Written byEjae,Mark Sonnenblick, Ido, 24, andTeddy","KPop Demon Hunters","Yes"
"2025","Critics Choice","Best Song","Clothed by the Sun - Written byDaniel Blumberg","The Testament of Ann Lee","Nominee"
"2025","Critics Choice","Best Song","Drive - Written byEd Sheeran,John Mayer, andBlake Slatkin","F1","Nominee"
"2025","Critics Choice","Best Song","The Girl in the Bubble - Written byStephen Schwartz","Wicked: For Good","Nominee"
"2025","Critics Choice","Best Song","I Lied to You - Written byRaphael SaadiqandLudwig Göransson","Sinners","Nominee"
"2025","Critics Choice","Best Song","Train Dreams - Written byNick CaveandBryce Dessner","Train Dreams","Nominee"
"2025","Golden Globes","Best Original Score","Ludwig Göransson","Sinners","Yes"
"2025","Golden Globes","Best Original Score","Hans Zimmer","F1","Nominee"
"2025","Golden Globes","Best Original Score","Alexandre Desplat","Frankenstein","Nominee"
"2025","Golden Globes","Best Original Score","Max Richter","Hamnet","Nominee"
"2025","Golden Globes","Best Original Score","Jonny Greenwood","One Battle After Another","Nominee"
"2025","Golden Globes","Best Original Score","Kangding Ray","Sirāt","Nominee"
"2025","Golden Globes","Best Original Song","Golden - Ejae,Mark Sonnenblick, Ido, 24, andTeddy","KPop Demon Hunters","Yes"
"2025","Golden Globes","Best Original Song","Dream as One - Miley Cyrus,Andrew Wyatt,Mark Ronson, andSimon Franglen","Avatar: Fire and Ash","Nominee"
"2025","Golden Globes","Best Original Song","I Lied to You - Raphael SaadiqandLudwig Göransson","Sinners","Nominee"
"2025","Golden Globes","Best Original Song","Train Dreams - Nick CaveandBryce Dessner","Train Dreams","Nominee"
"2025","Golden Globes","Best Original Song","The Girl in the Bubble - Stephen Schwartz","Wicked: For Good","Nominee"
"2025","Oscars","Best Original Score","Jerskin Fendrix","Bugonia","Nominee"
"2025","Oscars","Best Original Score","Alexandre Desplat","Frankenstein","Nominee"
"2025","Oscars","Best Original Score","Max Richter","Hamnet","Nominee"
"2025","Oscars","Best Original Score","Jonny Greenwood","One Battle After Another","Nominee"
"2025","Oscars","Best Original Score","Ludwig Göransson","Sinners","Nominee"
"2025","Oscars","Best Original Song","Dear Me - Diane Warren(music & lyrics)","Diane Warren: Relentless","Nominee"
"2025","Oscars","Best Original Song","Golden - Ejae, Ido, Yu Han Lee, Hee Dong Nam,Mark Sonnenblick,Teddy& 24(music & lyrics)","KPop Demon Hunters","Nominee"
"2025","Oscars","Best Original Song","I Lied to You - Ludwig Göransson&Raphael Saadiq(music & lyrics)","Sinners","Nominee"
"2025","Oscars","Best Original Song","Train Dreams - Nick Cave&Bryce Dessner(music); Cave(lyrics)","Train Dreams","Nominee"
"2025","Oscars","Best Original Song","Sweet Dreams of Joy - Nicholas Pike(music & lyrics)","Viva Verdi!","Nominee"
"2024","BAFTA","Best Sound","Ron Bartlett,Doug Hemphill,Gareth JohnandRichard King","Dune: Part Two","Yes"
"2024","BAFTA","Best Sound","John Casali, Paul Cotterell andJames Harrison","Blitz","Nominee"
"2024","BAFTA","Best Sound","Stéphane Bucher, Matthew Collinge,Paul Masseyand Danny Sheehan","Gladiator II","Nominee"
"2024","BAFTA","Best Sound","Valérie Deloof, Victor Fleurant, Victor Praud, Stéphane Thiébaut and Emmanuelle Villard","The Substance","Nominee"
