film_vote_count,film_popularity,film_budget,film_revenue,film_rating,days_since_film_release,film_runtime_min,film_is_action,film_is_adventure,film_is_animation,film_is_comedy,film_is_crime,film_is_documentary,film_is_drama,film_is_family,film_is_fantasy,film_is_history,film_is_horror,film_is_music,film_is_mystery,film_is_romance,film_is_science_fiction,film_is_tv_movie,film_is_thriller,film_is_war,film_is_western,days_since_album_release,n_tracks,composer_album_count,ambient_experimental,classical_orchestral,electronic,hip_hop_rnb,pop,rock,world_folk,us_score_nominee_count,us_song_nominee_count,bafta_nominee,log_lfm_album_listeners
12222,18.4171,40000000,569651467,5.875,4007,125,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,4001.0,16.0,19,0,0,0,0,0,0,0,0,3,0,3.295836866004329
7294,11.8041,95000000,543514353,6.826,3984,105,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,3980.0,33.0,6,0,1,0,0,0,0,0,0,0,0,6.261491684321042
18928,10.1655,135000000,532950503,7.54,3690,157,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,3690.0,22.0,2,1,1,0,0,0,0,0,2,0,1,2.6390573296152584
20206,10.133,245000000,2068223624,7.3,3700,136,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4048.0,23.0,6,0,1,0,0,0,0,0,1,0,1,5.780743515792329
9272,9.7665,30000000,84997446,7.415,3789,122,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3788.0,18.0,3,0,1,1,0,0,0,0,2,0,0,6.725033642166843
7892,8.7991,88000000,244874809,5.766,3852,106,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,3844.0,20.0,16,0,0,0,0,0,0,0,0,0,0,6.586171654854675
7840,8.5762,68000000,215863606,6.3,3873,115,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3875.0,15.0,1,0,0,0,0,0,0,0,0,0,0,5.872117789475416
14925,8.221,44000000,155760117,7.756,3690,188,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,4048.0,28.0,1,0,1,0,0,0,1,1,3,0,0,6.769641976852503
13942,8.0406,15000000,36869414,7.572,4028,108,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,4029.0,10.0,3,0,0,1,0,0,0,0,0,0,0,3.58351893845611
20542,7.942,130000000,519311965,7.067,3854,117,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3851.0,31.0,17,0,1,0,0,0,0,0,0,0,0,3.044522437723423
6762,7.4075,2300000,23374076,6.6,4014,101,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,3967.0,18.0,5,1,0,1,0,0,0,0,0,0,0,3.044522437723423
13108,7.1716,160000000,653428261,6.9,3727,137,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4048.0,19.0,17,0,0,0,0,0,0,0,0,0,0,3.044522437723423
8865,7.0047,110000000,473990832,6.2,3902,114,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3917.0,24.0,4,0,0,0,0,0,0,0,0,0,0,5.808142489980444
7791,6.9512,37000000,173600000,7.404,3720,133,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4048.0,21.0,13,0,1,0,0,0,0,0,0,0,0,3.555348061489413
10825,6.8848,61000000,312296056,6.734,3797,131,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,21.0,4,0,0,0,0,0,0,0,0,0,0,4.382026634673881
4153,6.347,25000000,42972994,7.058,3797,132,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,33.0,16,0,0,0,0,1,1,0,0,0,0,2.079441541679836
8290,6.0161,49000000,104399548,6.786,3986,120,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3980.0,16.0,23,1,0,1,0,0,0,0,0,0,0,7.785305182539862
6988,5.0044,25000000,65663276,7.471,3943,112,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,3917.0,23.0,20,0,0,0,0,0,0,0,0,0,0,9.700759185964513
6704,4.9025,4000000,15700000,7.029,3761,119,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,10.0,25,0,0,0,0,0,0,0,0,0,0,2.4849066497880004
6303,4.3128,120000000,167977596,4.437,3832,100,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3837.0,23.0,24,0,1,0,0,0,0,0,0,0,0,2.9444389791664403
5145,4.24,55000000,74700000,6.7,3763,119,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,3762.0,36.0,4,0,0,0,0,0,0,0,0,0,0,10.715017588824423
10940,4.1275,74000000,1159457503,6.416,3881,91,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3858.0,29.0,8,0,0,0,0,0,0,0,0,0,0,3.58351893845611
612,4.1259,0,1473809,6.031,3948,104,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4048.0,11.0,12,0,0,0,0,0,0,0,0,0,0,0.0
4105,4.0475,28000000,201634991,7.783,3826,147,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,3676.0,17.0,14,0,0,0,1,0,0,0,0,0,0,4.30406509320417
1753,3.9567,99000000,246233113,6.951,3740,88,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3754.0,20.0,17,0,0,0,0,1,0,0,0,0,0,3.218875824868201
3919,3.5571,58000000,158261424,6.313,3832,103,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3753.0,29.0,19,0,1,0,0,0,0,0,0,0,0,4.663439094112067
1731,3.4765,90000000,233755553,6.025,3698,92,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,4048.0,9.0,13,0,0,0,0,1,0,0,0,0,0,6.327936783729195
2358,3.4462,35000000,95682614,5.22,3909,93,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3910.0,20.0,2,0,1,0,0,0,0,0,0,0,0,2.079441541679836
5112,3.3904,55000000,203427584,6.827,3796,121,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,3788.0,16.0,10,0,0,0,0,0,0,0,0,0,0,7.179307969504034
2898,3.336,28000000,27100000,6.091,3818,96,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3781.0,22.0,10,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
2905,3.324,64000000,101281211,7.6,3839,106,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,3613.0,22.0,1,0,0,0,0,0,0,0,0,0,0,7.329093736246592
1756,3.3056,50000000,12951093,6.284,3975,137,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3945.0,24.0,3,0,0,0,0,0,0,0,0,0,0,2.833213344056216
681,2.8677,2023920,0,6.992,3706,90,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,18.0,1,0,0,0,1,0,0,0,0,0,0,10.595984521754486
3535,2.7839,10000000,120453155,6.283,3901,97,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3893.0,22.0,13,1,0,0,0,0,0,0,0,0,0,3.1354942159291497
2807,2.6835,150000000,128388320,5.958,3782,111,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,3770.0,21.0,10,0,1,0,0,1,0,0,0,0,0,8.776012719182917
973,2.3718,3500000,0,6.983,4036,72,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4022.0,24.0,1,0,0,0,0,0,0,0,0,0,0,3.871201010907891
2161,2.3414,13360000,2000000,6.897,3909,125,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4048.0,12.0,1,0,0,0,0,0,0,0,0,3,0,3.5263605246161616
1078,2.2521,30000000,49263404,6.3,3895,104,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4048.0,14.0,25,0,0,0,0,0,0,0,0,0,0,5.389071729816501
3203,2.2185,11000000,62076141,7.309,3756,111,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,3739.0,24.0,2,0,1,0,0,0,0,0,0,0,0,0.6931471805599453
1131,2.182,15000000,9104716,7.245,3978,103,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,,20.0,2,0,0,0,0,0,0,0,0,0,0,3.7612001156935615
866,2.0956,20000000,43956255,7.131,3873,111,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,3875.0,17.0,1,0,0,1,0,0,1,0,0,0,0,3.49650756146648
